#City GoogleResults Latitude Longitude SearchPhrase
Winston–Salem 8160 80.2606 36.1033 http://www.google.com/search?q=Winston–Salem+"tech+hub"
Santa_Ana 13300 117.8826 33.7365 http://www.google.com/search?q=Santa+Ana+"tech+hub"
Jackson 156000 90.2128 32.3158 http://www.google.com/search?q=Jackson+"tech+hub"
Riverside 35000 117.3932 33.9381 http://www.google.com/search?q=Riverside+"tech+hub"
Miramar 7180 80.3358 25.9770 http://www.google.com/search?q=Miramar+"tech+hub"
Boulder 8130 105.2797 40.0175 http://www.google.com/search?q=Boulder+"tech+hub"
Fort_Lauderdale 13900 80.1439 26.1413 http://www.google.com/search?q=Fort+Lauderdale+"tech+hub"
Columbus 26200 84.8749 32.5102 http://www.google.com/search?q=Columbus+"tech+hub"
Indianapolis 26600 86.1459 39.7767 http://www.google.com/search?q=Indianapolis+"tech+hub"
Victorville 2110 117.3536 34.5277 http://www.google.com/search?q=Victorville+"tech+hub"
Norman 31700 97.3453 35.2406 http://www.google.com/search?q=Norman+"tech+hub"
Peoria 16200 89.6171 40.7523 http://www.google.com/search?q=Peoria+"tech+hub"
Pompano_Beach 3600 80.1290 26.2426 http://www.google.com/search?q=Pompano+Beach+"tech+hub"
Miami_Gardens 14100 80.2436 25.9489 http://www.google.com/search?q=Miami+Gardens+"tech+hub"
Baton_Rouge 7850 91.1259 30.4485 http://www.google.com/search?q=Baton+Rouge+"tech+hub"
Cape_Coral 6430 81.9973 26.6431 http://www.google.com/search?q=Cape+Coral+"tech+hub"
Santa_Maria 14900 120.4438 34.9332 http://www.google.com/search?q=Santa+Maria+"tech+hub"
College_Station 9340 96.3144 30.6013 http://www.google.com/search?q=College+Station+"tech+hub"
El_Cajon 1340 116.9605 32.8017 http://www.google.com/search?q=El+Cajon+"tech+hub"
Shreveport 3400 93.7927 32.4670 http://www.google.com/search?q=Shreveport+"tech+hub"
Escondido 4580 117.0732 33.1336 http://www.google.com/search?q=Escondido+"tech+hub"
Akron 7910 81.5214 41.0805 http://www.google.com/search?q=Akron+"tech+hub"
Olathe 1230 94.8188 38.8843 http://www.google.com/search?q=Olathe+"tech+hub"
Mesa 37700 111.7174 33.4019 http://www.google.com/search?q=Mesa+"tech+hub"
Memphis 22700 89.9785 35.1035 http://www.google.com/search?q=Memphis+"tech+hub"
Rialto 5500 117.3883 34.1118 http://www.google.com/search?q=Rialto+"tech+hub"
Green_Bay 21800 87.9842 44.5207 http://www.google.com/search?q=Green+Bay+"tech+hub"
Lincoln 24100 96.6804 40.8090 http://www.google.com/search?q=Lincoln+"tech+hub"
Pearland 1630 95.2958 29.5544 http://www.google.com/search?q=Pearland+"tech+hub"
Orlando 32600 81.2988 28.4159 http://www.google.com/search?q=Orlando+"tech+hub"
Pembroke_Pines 2950 80.3404 26.0212 http://www.google.com/search?q=Pembroke+Pines+"tech+hub"
Detroit 30400 83.1022 42.3830 http://www.google.com/search?q=Detroit+"tech+hub"
Athens 50400 83.3701 33.9496 http://www.google.com/search?q=Athens+"tech+hub"
Billings 17800 108.5499 45.7895 http://www.google.com/search?q=Billings+"tech+hub"
Anaheim 49800 117.7601 33.8555 http://www.google.com/search?q=Anaheim+"tech+hub"
Cambridge 29800 71.1183 42.3760 http://www.google.com/search?q=Cambridge+"tech+hub"
Elgin 6610 88.3217 42.0396 http://www.google.com/search?q=Elgin+"tech+hub"
Fargo 35600 96.8290 46.8652 http://www.google.com/search?q=Fargo+"tech+hub"
Charleston 17200 79.9589 32.8179 http://www.google.com/search?q=Charleston+"tech+hub"
Fayetteville 8410 78.9803 35.0851 http://www.google.com/search?q=Fayetteville+"tech+hub"
Austin 52700 97.7560 30.3072 http://www.google.com/search?q=Austin+"tech+hub"
Stamford 18700 73.5460 41.0799 http://www.google.com/search?q=Stamford+"tech+hub"
Greensboro 39100 79.8271 36.0965 http://www.google.com/search?q=Greensboro+"tech+hub"
Westminster 81200 105.0644 39.8822 http://www.google.com/search?q=Westminster+"tech+hub"
Moreno_Valley 36100 117.2057 33.9233 http://www.google.com/search?q=Moreno+Valley+"tech+hub"
Wichita_Falls 6530 98.5259 33.9067 http://www.google.com/search?q=Wichita+Falls+"tech+hub"
Stockton 13400 121.3133 37.9763 http://www.google.com/search?q=Stockton+"tech+hub"
Concord 44600 122.0016 37.9722 http://www.google.com/search?q=Concord+"tech+hub"
Little_Rock 20800 92.3586 34.7254 http://www.google.com/search?q=Little+Rock+"tech+hub"
Worcester 15500 71.8078 42.2695 http://www.google.com/search?q=Worcester+"tech+hub"
Oxnard 2010 119.2046 34.2023 http://www.google.com/search?q=Oxnard+"tech+hub"
Costa_Mesa 11800 117.9123 33.6659 http://www.google.com/search?q=Costa+Mesa+"tech+hub"
Roseville 3870 121.3032 38.7657 http://www.google.com/search?q=Roseville+"tech+hub"
New_Orleans 13300 89.9390 30.0686 http://www.google.com/search?q=New+Orleans+"tech+hub"
Birmingham 31300 86.7990 33.5274 http://www.google.com/search?q=Birmingham+"tech+hub"
Cleveland 24600 81.6795 41.4781 http://www.google.com/search?q=Cleveland+"tech+hub"
Downey 18300 118.1309 33.9382 http://www.google.com/search?q=Downey+"tech+hub"
Oklahoma_City 19900 97.5137 35.4671 http://www.google.com/search?q=Oklahoma+City+"tech+hub"
Hayward 19300 122.1063 37.6281 http://www.google.com/search?q=Hayward+"tech+hub"
Lancaster 20600 118.1753 34.6936 http://www.google.com/search?q=Lancaster+"tech+hub"
Denton 3030 97.1417 33.2151 http://www.google.com/search?q=Denton+"tech+hub"
Chicago 79000 87.6818 41.8376 http://www.google.com/search?q=Chicago+"tech+hub"
Yonkers 10200 73.8674 40.9459 http://www.google.com/search?q=Yonkers+"tech+hub"
Lubbock 3860 101.8867 33.5665 http://www.google.com/search?q=Lubbock+"tech+hub"
Philadelphia 148000 75.1333 40.0094 http://www.google.com/search?q=Philadelphia+"tech+hub"
West_Jordan 66300 112.0010 40.6023 http://www.google.com/search?q=West+Jordan+"tech+hub"
Sterling_Heights 40300 83.0303 42.5812 http://www.google.com/search?q=Sterling+Heights+"tech+hub"
Orange 140000 117.8249 33.8048 http://www.google.com/search?q=Orange+"tech+hub"
Vancouver 20700 122.5965 45.6372 http://www.google.com/search?q=Vancouver+"tech+hub"
Paterson 9840 74.1628 40.9147 http://www.google.com/search?q=Paterson+"tech+hub"
West_Palm_Beach 21800 80.1266 26.7483 http://www.google.com/search?q=West+Palm+Beach+"tech+hub"
Chandler 15300 111.8549 33.2829 http://www.google.com/search?q=Chandler+"tech+hub"
Springfield 23000 89.6708 39.7639 http://www.google.com/search?q=Springfield+"tech+hub"
Odessa 5000 102.3434 31.8804 http://www.google.com/search?q=Odessa+"tech+hub"
Lowell 9810 71.3221 42.6389 http://www.google.com/search?q=Lowell+"tech+hub"
Evansville 3110 87.5347 37.9877 http://www.google.com/search?q=Evansville+"tech+hub"
Phoenix 42000 112.0880 33.5722 http://www.google.com/search?q=Phoenix+"tech+hub"
Huntsville 7570 86.5390 34.7843 http://www.google.com/search?q=Huntsville+"tech+hub"
Nashville 24400 86.7850 36.1718 http://www.google.com/search?q=Nashville+"tech+hub"
Irving 17700 96.9700 32.8577 http://www.google.com/search?q=Irving+"tech+hub"
Irvine 12700 117.7713 33.6784 http://www.google.com/search?q=Irvine+"tech+hub"
#Mobile 278000 88.1002 30.6684 http://www.google.com/search?q=Mobile+"tech+hub"
Grand_Rapids 7910 85.6556 42.9612 http://www.google.com/search?q=Grand+Rapids+"tech+hub"
Carrollton 6200 96.8998 32.9884 http://www.google.com/search?q=Carrollton+"tech+hub"
Torrance 7100 118.3414 33.8350 http://www.google.com/search?q=Torrance+"tech+hub"
Plano 9480 96.7479 33.0508 http://www.google.com/search?q=Plano+"tech+hub"
Eugene 20200 123.1162 44.0567 http://www.google.com/search?q=Eugene+"tech+hub"
Jacksonville 42300 81.6613 30.3370 http://www.google.com/search?q=Jacksonville+"tech+hub"
Centennial 15100 104.8691 39.5906 http://www.google.com/search?q=Centennial+"tech+hub"
North_Las_Vegas 30200 115.0893 36.2830 http://www.google.com/search?q=North+Las+Vegas+"tech+hub"
Bakersfield 11500 119.0183 35.3212 http://www.google.com/search?q=Bakersfield+"tech+hub"
Chattanooga 5110 85.2471 35.0665 http://www.google.com/search?q=Chattanooga+"tech+hub"
West_Valley_City 10400 112.0118 40.6885 http://www.google.com/search?q=West+Valley+City+"tech+hub"
Omaha 8530 96.0419 41.2647 http://www.google.com/search?q=Omaha+"tech+hub"
Jersey_City 40200 74.0648 40.7114 http://www.google.com/search?q=Jersey+City+"tech+hub"
Anchorage 15900 149.8953 61.2176 http://www.google.com/search?q=Anchorage+"tech+hub"
Chesapeake 15300 76.3018 36.6794 http://www.google.com/search?q=Chesapeake+"tech+hub"
Wichita 40600 97.3427 37.6907 http://www.google.com/search?q=Wichita+"tech+hub"
Kansas_City 27100 94.7418 39.1225 http://www.google.com/search?q=Kansas+City+"tech+hub"
Lafayette 25000 92.0314 30.2116 http://www.google.com/search?q=Lafayette+"tech+hub"
Raleigh 23900 78.6414 35.8302 http://www.google.com/search?q=Raleigh+"tech+hub"
Glendale 15000 118.2458 34.1814 http://www.google.com/search?q=Glendale+"tech+hub"
San_Bernardino 7430 117.2953 34.1393 http://www.google.com/search?q=San+Bernardino+"tech+hub"
Davenport 14600 90.6040 41.5541 http://www.google.com/search?q=Davenport+"tech+hub"
Portland 33500 122.6500 45.5370 http://www.google.com/search?q=Portland+"tech+hub"
Baltimore 33200 76.6105 39.3002 http://www.google.com/search?q=Baltimore+"tech+hub"
Elizabeth 27100 74.1935 40.6663 http://www.google.com/search?q=Elizabeth+"tech+hub"
