Arron-Afflalo 501 631 373 434 15 20
Juan-Dixon 30 35 25 29 0 1
Tyronn-Lue 21 28 18 23 0 0
Eddie-House 113 126 47 53 1 2
Acie-Law-IV 4 5 2 4 1 1
Sasha-Pavlovic 48 99 48 79 2 3
Marcus-Williams 41 59 35 49 0 0
Eric-Piatkowski 2 2 2 2 0 0
Stephon-Marbury 49 76 40 53 0 0
Theo-Ratliff 42 68 46 62 0 0
Antonio-McDyess 131 205 114 171 0 0
Chris-Webber 2 6 3 6 0 0
Bobby-Jackson 81 98 60 75 2 2
Kasib-Powell 3 5 3 4 0 0
Ike-Diogu 65 91 58 71 0 0
Blake-Ahearn 18 18 14 15 0 0
Brent-Barry 25 26 13 14 0 0
Darius-Washington 3 7 4 6 0 0
D.J.-Strawberry 5 11 4 8 0 0
Sean-Marks 25 41 24 35 0 0
Elton-Brand 349 501 304 386 0 0
Dikembe-Mutombo 23 29 15 25 0 0
Adrian-Griffin 4 6 1 3 0 0
Jeff-McInnis 10 14 9 12 0 0
Justin-Williams 3 13 5 13 0 0
Leon-Powe 222 333 176 262 0 0
Anderson-Varejao 283 449 241 348 0 0
Damon-Jones 10 16 9 11 1 1
Brian-Cook 24 36 29 32 0 0
Maurice-Ager 4 11 6 9 0 0
Tarence-Kinsey 18 23 20 21 0 0
Gordan-Giricek 12 15 11 11 0 0
Brian-Scalabrine 21 25 16 24 1 1
Pat-Garrity 3 3 1 2 0 0
Yakhouba-Diawara 16 27 16 23 0 0
Solomon-Jones 89 134 86 116 0 0
Steven-Hunter 13 32 15 24 0 0
Kevin-Ollie 58 65 42 54 0 0
Mike-Wilks 3 4 3 4 0 0
Greg-Buckner 23 26 16 21 0 0
Morris-Almond 13 20 13 15 0 0
Brian-Cardinal 40 51 42 45 0 0
Chucky-Atkins 26 29 18 23 0 0
Lindsey-Hunter 6 9 6 7 0 0
Coby-Karl 7 9 5 7 0 0
Ian-Mahinmi 185 303 147 254 0 0
Eddie-Jones 6 9 4 5 0 0
Walter-Herrmann 23 27 17 23 0 0
Andre-Barrett 1 1 0 1 0 0
Brandan-Wright 169 257 130 188 0 0
Taurean-Green 6 6 5 6 0 0
Eric-Snow 6 11 4 11 0 0
Shannon-Brown 231 292 174 205 9 13
Oleksiy-Pecherov 32 46 36 41 0 0
Othella-Harrington 4 8 6 8 0 0
Derek-Anderson 13 19 13 16 0 1
Mark-Madsen 2 8 1 8 0 0
Louis-Amundson 106 230 82 185 0 0
DJ-Mbenga 3 7 2 5 0 0
Anfernee-Hardaway 4 5 4 4 0 0
Anthony-Johnson 63 78 52 66 0 0
James-Augustine 3 5 1 3 0 0
Mario-West 23 41 17 30 0 0
Lorenzen-Wright 4 7 2 7 0 0
Scot-Pollard 10 12 5 10 0 0
Marco-Belinelli 301 387 254 298 13 14
Patrick-O'Bryant 7 17 10 14 0 0
Michael-Doleac 0 1 1 1 0 0
Alando-Tucker 25 34 22 26 0 0
Juwan-Howard 68 88 57 73 0 0
Marcus-Vinicius 1 5 4 5 0 1
Linton-Johnson 1 1 1 1 0 0
Robert-Swift 7 10 7 8 0 0
Viktor-Khryapa 5 7 3 7 0 0
Cheick-Samb 0 1 1 1 0 0
Mike-Harris 8 15 7 11 0 0
Guillermo-Diaz 2 3 1 2 0 0
Stephen-Graham 74 100 61 81 0 0
Kosta-Perovic 2 3 2 3 0 0
Richie-Frahm 0 1 0 1 0 0
Jelani-McCoy 0 1 1 1 0 0
Steve-Novak 58 66 27 32 6 7
Cedric-Simmons 4 14 3 12 0 0
Kenny-Thomas 3 9 4 8 0 0
Jose-Barea 4 4 3 3 0 0
Darryl-Watkins 5 13 6 10 0 0
Chris-Andersen 301 453 268 390 0 0
Billy-Thomas 1 1 1 1 0 0
Cj-Watson 1 1 1 1 0 0
Gabe-Pruitt 10 12 8 11 0 0
Shareef-Abdur-Rahim 2 2 2 2 0 0
Marcin-Gortat 326 484 267 394 0 0
Jerome-James 1 1 1 1 0 0
Kyrylo-Fesenko 30 72 25 62 0 0
Ronald-Dupree 1 1 1 1 0 0
Lance-Allred 1 1 0 1 0 0
Thomas-Gardner 1 3 1 3 0 0
Mike-Conley-Jr. 31 37 19 24 0 0
Kevin-Love 854 1093 776 917 19 22
Tony-Battie 41 60 32 50 0 0
Eric-Gordon 646 803 496 604 4 5
Russell-Westbrook 1351 1695 1182 1406 21 23
DeAndre-Jordan 267 711 270 590 0 0
Rudy-Fernandez 212 256 139 163 10 11
Greg-Oden 97 160 96 130 0 0
D.J.-Augustin 532 623 389 438 19 19
Kyle-Weaver 31 41 22 31 0 0
Bobby-Brown 28 34 19 24 0 0
Jerryd-Bayless 403 499 336 389 5 5
Luc-Richard-Mbah-a-Moute 297 463 257 379 1 2
O.J.-Mayo 572 715 411 487 14 17
Danilo-Gallinari 654 803 569 637 14 17
Darius-Miles 12 17 11 14 0 0
Marc-Gasol 883 1178 716 939 1 1
Hamed-Haddadi 39 67 40 58 0 0
Michael-Beasley 419 581 349 433 1 1
Mario-Chalmers 363 473 281 353 15 18
George-Hill 500 639 395 470 13 17
Will-Bynum 268 351 227 267 1 1
James-Singleton 74 85 60 70 0 0
Mike-Taylor 28 44 28 37 0 0
Roko-Ukic 31 43 22 28 0 0
Roy-Hibbert 528 732 448 581 0 0
Derrick-Rose 714 889 561 675 3 5
Lou-Williams 546 694 448 537 24 26
Nicolas-Batum 340 410 269 314 9 11
Marreese-Speights 330 438 304 374 0 0
Ryan-Anderson 373 446 310 357 12 14
Brook-Lopez 858 1088 652 821 0 0
JaVale-McGee 288 509 235 381 0 0
Jason-Thompson 453 708 403 583 0 0
Donte-Greene 103 161 101 130 2 3
Anthony-Randolph 199 268 164 224 0 0
Anthony-Roberson 3 3 2 2 0 0
Josh-McRoberts 114 169 99 136 0 0
J.J.-Hickson 435 670 352 531 0 0
Courtney-Lee 322 387 228 267 0 0
Will-Solomon 12 18 13 16 0 0
Robin-Lopez 305 427 257 333 0 0
Bill-Walker 58 74 44 60 1 2
Darrell-Arthur 133 180 112 149 0 0
Luc-Mbah-a-Moute 21 29 21 27 0 0
Goran-Dragic 441 610 366 472 7 7
Chris-Douglas-Roberts 148 184 125 142 0 0
Cartier-Martin 54 76 48 65 1 1
Joe-Alexander 30 47 30 39 0 0
Anthony-Morrow 267 304 178 195 28 29
Rob-Kurz 24 27 16 23 0 0
Darnell-Jackson 32 50 26 40 0 0
Cheikh-Samb 2 4 1 3 0 0
Kosta-Koufos 111 194 104 159 0 0
Brandon-Rush 133 192 119 162 0 0
Etan-Thomas 23 33 18 27 0 0
Anthony-Tolliver 192 245 157 202 3 3
Malik-Hairston 12 23 7 14 0 0
Walter-Sharpe 0 1 0 1 0 0
Dontell-Jefferson 4 5 2 4 0 0
Sean-May 19 28 16 24 0 0
Sean-Singletary 9 11 9 10 0 0
Demetris-Nichols 1 1 0 1 0 0
Sonny-Weems 67 90 48 71 0 0
Pops-Mensah-Bonsu 23 37 20 31 0 0
Adam-Morrison 11 15 8 13 1 1
Alex-Acker 3 5 2 5 0 0
Alexis-Ajinca 58 79 56 67 0 0
Hassan-Adams 2 3 1 3 0 0
D.J.-Mbenga 16 25 12 18 0 0
Joe-Crawford 1 1 1 1 0 0
Othello-Hunter 1 5 2 4 0 0
Trey-Johnson 9 10 9 9 0 0
DeMarcus-Nelson 2 8 3 6 0 0
Shaun-Livingston 200 254 169 195 0 0
D.J.-White 60 84 53 73 0 0
Speedy-Claxton 0 1 1 1 0 0
Dee-Brown 2 3 1 2 0 0
Desmon-Farmer 1 1 1 1 0 0
Shavlik-Randolph 12 25 8 20 0 0
DeJuan-Blair 166 281 127 206 0 0
Tyreke-Evans 633 864 532 683 1 3
Jon-Brockman 41 74 43 62 0 0
Chase-Budinger 183 229 142 177 8 8
Omri-Casspi 220 331 195 277 1 2
James-Harden 1164 1393 970 1116 47 57
DeMar-DeRozan 790 988 658 786 5 5
Gerald-Henderson 397 512 357 423 2 3
Derrick-Brown 99 154 75 120 0 0
Brandon-Jennings 554 683 398 484 12 14
Jodie-Meeks 286 322 196 216 6 8
Sam-Young 140 200 127 160 0 0
Ersan-Ilyasova 277 384 257 315 7 7
DeMarre-Carroll 127 187 118 157 5 5
Marcus-Thornton 332 407 254 297 1 3
Wes-Matthews 13 18 10 13 0 0
Eric-Maynor 75 108 67 87 2 2
Terrence-Williams 82 130 71 102 0 0
Taj-Gibson 275 418 243 353 0 0
Jonas-Jerebko 191 252 156 200 0 0
Garrett-Temple 53 82 49 69 1 1
Ty-Lawson 520 678 421 555 7 10
Nathan-Jawai 17 23 9 15 0 0
Jonny-Flynn 147 191 134 156 2 3
Sundiata-Gaines 54 99 45 77 1 2
Wesley-Matthews 430 542 367 426 11 12
Chris-Hunter 28 40 24 29 0 0
Austin-Daye 103 136 91 111 0 0
Hasheem-Thabeet 65 108 53 93 0 0
Jeff-Teague 388 482 344 395 0 0
Darren-Collison 498 591 358 419 2 2
Jawad-Williams 20 30 18 24 1 1
Stephen-Curry 557 634 414 439 24 27
Earl-Clark 63 102 64 88 0 0
Wayne-Ellington 145 169 108 131 1 1
Joey-Dorsey 35 84 25 76 0 0
Jrue-Holiday 333 417 236 306 0 0
Serge-Ibaka 274 381 233 312 2 2
Jordan-Hill 163 237 137 192 0 0
A.J.-Price 112 152 86 110 4 8
David-Andersen 32 48 28 41 0 0
Jermaine-Taylor 32 41 22 33 0 0
DaJuan-Summers 25 35 18 32 0 0
James-Johnson 153 244 131 179 1 1
Dante-Cunningham 112 178 104 149 0 0
Jonathan-Bender 14 14 10 12 0 0
Alonzo-Gee 248 335 223 277 1 1
Toney-Douglas 133 168 106 121 7 8
Rodrigue-Beaubois 87 110 66 79 0 0
Marcus-Landry 1 3 2 2 0 0
Othyus-Jeffers 23 35 20 30 0 0
Tyler-Hansbrough 448 587 371 495 1 1
J.R.-Giddens 6 12 7 11 0 0
Jeff-Pendergraph 24 28 19 22 0 0
Lester-Hudson 26 33 21 26 3 3
Reggie-Williams 115 150 79 108 1 3
Taylor-Griffin 1 2 1 2 0 0
Marcus-Haislip 0 3 2 2 0 0
Daniel-Green 47 59 35 45 0 0
Patrick-Mills 33 41 24 31 0 0
Will-Conroy 0 3 1 1 0 0
Cedric-Jackson 3 6 4 6 0 0
Derrick-Favors 351 530 278 428 0 0
Evan-Turner 227 322 204 257 0 0
Nikola-Pekovic 301 408 271 343 0 0
John-Wall 637 820 506 636 4 6
Manny-Harris 59 82 51 68 2 2
Samardo-Samuels 82 138 82 113 0 0
DeMarcus-Cousins 678 963 583 762 1 1
Omer-Asik 220 424 199 348 0 0
Pooh-Jeter 20 24 16 16 1 1
Ed-Davis 186 334 149 254 0 0
Gary-Forbes 65 98 59 79 1 1
Timofey-Mozgov 135 187 112 158 0 0
Larry-Sanders 90 149 63 122 0 0
Greivis-Vasquez 174 227 128 152 1 1
Chris-Johnson 34 48 30 41 2 2
Blake-Griffin 687 1123 581 873 2 2
Eric-Bledsoe 328 433 255 316 2 2
Wesley-Johnson 113 151 87 113 5 9
Kevin-Seraphin 90 148 98 123 0 0
Paul-George 234 310 213 252 5 6
Trevor-Booker 136 229 114 186 0 0
Semih-Erden 28 53 29 44 0 0
Greg-Monroe 470 675 387 543 0 0
Quincy-Pondexter 96 137 87 115 4 6
Xavier-Henry 83 141 74 112 0 0
Al-Farouq-Aminu 194 267 166 217 0 0
Andy-Rautins 1 1 0 1 0 0
Lazar-Hayward 25 32 21 28 0 0
Landry-Fields 117 187 109 152 3 4
Ekpe-Udoh 114 166 109 139 1 1
Derrick-Caracter 9 13 8 10 0 0
Jordan-Crawford 215 262 147 183 1 1
Gordon-Hayward 486 615 392 466 0 2
Christian-Eyenga 13 21 9 15 0 0
Gary-Neal 171 210 123 145 11 11
Avery-Bradley 96 130 84 105 4 4
Ben-Uzoh 25 40 19 35 0 0
Byron-Mullens 82 119 79 104 2 2
Tiago-Splitter 262 399 234 322 0 0
Patrick-Patterson 91 129 88 111 2 2
Hamady-Ndiaye 3 6 3 6 0 0
Mustafa-Shakur 4 8 4 7 0 0
Jeremy-Evans 46 63 33 52 0 0
Luke-Babbitt 22 32 21 29 0 0
Devin-Ebanks 30 38 22 34 0 0
Ishmael-Smith 7 16 12 15 0 0
