"FG3M" "FG3_PCT" "DEF_RATING" PLAYER_NAME
0.6 0.365 103.5 Matt_Bonner
1.0 0.407 103.9 Matthew_Dellavedova
0.2 0.179 101.5 Maurice_Harkless
0.9 0.42 99.6 Meyers_Leonard
0.3 0.235 96.7 Michael_Beasley
0.5 0.235 98.3 Michael_Carter-Williams
0.0 0.0 96.3 Michael_Kidd-Gilchrist
1.5 0.386 101.5 Mike_Conley
1.7 0.407 100.4 Mike_Dunleavy
0.6 0.327 104.7 Mike_Miller
0.2 0.409 98.4 Mike_Muscala
1.0 0.344 102.0 Mike_Scott
0.0 0.0 105.3 Miles_Plumlee
0.0 0.0 111.0 Miroslav_Raduljica
1.6 0.321 99.8 Mirza_Teletovic
0.0 0.0 102.8 Mitch_McGary
1.8 0.342 104.4 Mo_Williams
1.0 0.285 103.4 Monta_Ellis
0.7 0.277 102.9 Nate_Robinson
0.0 0.0 99.0 Nate_Wolters
0.0 0.0 100.1 Nazr_Mohammed
0.0 0.2 97.8 Nene
0.0 0.0 100.4 Nerlens_Noel
0.2 0.256 92.2 Nick_Calathes
0.2 0.267 100.3 Nick_Collison
0.2 0.238 101.5 Nick_Johnson
2.0 0.369 105.0 Nick_Young
1.4 0.324 103.0 Nicolas_Batum
0.7 0.322 108.4 Nik_Stauskas
1.2 0.316 99.1 Nikola_Mirotic
0.0 0.0 105.9 Nikola_Pekovic
0.0 0.333 106.6 Nikola_Vucevic
0.2 0.385 102.2 Noah_Vonleh
0.7 0.313 105.5 Norris_Cole
1.4 0.357 100.2 O.J._Mayo
0.0 0.0 111.7 Ognjen_Kuzmic
0.0 0.0 103.3 Omer_Asik
0.5 0.402 107.8 Omri_Casspi
0.5 0.337 102.5 Otto_Porter
1.1 0.301 105.3 PJ_Hairston
1.1 0.345 102.7 PJ_Tucker
0.9 0.343 105.5 Pablo_Prigioni
2.1 0.356 102.3 Patrick_Beverley
0.0 0.0 107.0 Patrick_Christopher
1.3 0.371 105.3 Patrick_Patterson
1.2 0.341 95.8 Patty_Mills
0.2 0.462 101.7 Pau_Gasol
1.5 0.409 94.9 Paul_George
1.1 0.356 101.0 Paul_Millsap
1.6 0.389 98.6 Paul_Pierce
0.8 0.301 99.0 Pero_Antic
0.3 0.233 107.5 Perry_Jones
0.3 0.246 97.3 Phil_Pressey
0.3 0.3 102.4 Quincy_Acy
0.3 0.167 88.8 Quincy_Miller
1.2 0.373 103.2 Quincy_Pondexter
0.4 0.314 102.9 Rajon_Rondo
0.3 0.317 102.8 Ramon_Sessions
1.9 0.357 106.2 Randy_Foye
1.2 0.387 101.9 Rasual_Butler
0.5 0.306 109.2 Ray_McCallum
0.3 0.294 101.4 Raymond_Felton
0.4 0.326 97.3 Reggie_Bullock
0.0 0.0 106.7 Reggie_Evans
0.9 0.299 102.8 Reggie_Jackson
0.2 0.158 114.3 Reggie_Williams
0.9 0.426 102.5 Richard_Jefferson
0.6 0.37 107.6 Ricky_Ledo
0.6 0.255 103.4 Ricky_Rubio
0.4 0.314 111.8 Robbie_Hummel
2.4 0.374 100.5 Robert_Covington
0.0 0.0 102.8 Robert_Sacre
0.0 0.0 102.3 Robin_Lopez
1.2 0.365 98.7 Rodney_Hood
0.8 0.39 100.2 Rodney_Stuckey
0.7 0.284 105.8 Ronnie_Price
0.0 0.0 113.7 Ronny_Turiaf
0.0 0.0 101.1 Roy_Hibbert
1.2 0.359 106.9 Rudy_Gay
0.0 0.0 98.8 Rudy_Gobert
0.2 0.182 81.2 Russ_Smith
1.3 0.299 105.0 Russell_Westbrook
2.0 0.34 108.7 Ryan_Anderson
0.0 0.0 103.4 Ryan_Hollins
0.9 0.336 107.3 Ryan_Kelly
0.0 0.0 106.3 Samuel_Dalembert
1.0 0.308 97.4 Sean_Kilpatrick
1.1 0.3 102.2 Sebastian_Telfair
1.2 0.376 101.2 Serge_Ibaka
0.5 0.296 101.4 Sergey_Karasev
0.0 0.0 98.0 Seth_Curry
0.5 0.392 110.4 Shabazz_Muhammad
0.8 0.364 101.3 Shabazz_Napier
0.5 0.302 106.9 Shane_Larkin
0.6 0.429 112.3 Shannon_Brown
0.0 0.0 99.2 Shaun_Livingston
0.0 0.0 102.7 Shavlik_Randolph
0.2 0.261 104.1 Shawn_Marion
1.0 0.36 106.9 Shawne_Williams
0.1 0.167 108.3 Shayne_Whittington
0.7 0.315 101.8 Shelvin_Mack
0.0 0.0 123.0 Sim_Bhullar
0.8 0.327 103.5 Solomon_Hill
0.4 0.185 103.4 Spencer_Dinwiddie
0.8 0.313 104.6 Spencer_Hawes
3.6 0.443 97.2 Stephen_Curry
1.0 0.352 100.5 Steve_Blake
0.5 0.396 117.2 Steve_Novak
0.0 0.0 102.9 Steven_Adams
0.1 0.238 103.9 TJ_Warren
0.0 0.0 102.1 Taj_Gibson
0.0 0.0 104.6 Tarik_Black
0.5 0.463 104.7 Tayshaun_Prince
0.4 0.351 100.3 Terrence_Jones
1.8 0.372 107.7 Terrence_Ross
0.5 0.321 95.3 Thabo_Sefolosha
0.5 0.33 106.9 Thaddeus_Young
0.0 0.0 99.5 Thomas_Robinson
0.0 0.0 97.3 Tiago_Splitter
0.0 0.286 99.3 Tim_Duncan
0.5 0.294 101.4 Tim_Frazier
1.7 0.342 108.1 Tim_Hardaway_Jr.
0.0 0.333 103.5 Timofey_Mozgov
1.3 0.364 106.7 Tobias_Harris
0.4 0.278 101.5 Toney_Douglas
0.2 0.345 94.9 Tony_Allen
0.6 0.427 102.0 Tony_Parker
1.0 0.371 101.4 Tony_Snell
1.2 0.261 106.6 Tony_Wroten
0.0 0.0 86.8 Toure_Murry
0.2 0.367 101.8 Travis_Wear
2.4 0.35 100.0 Trevor_Ariza
0.4 0.345 101.8 Trevor_Booker
1.6 0.318 104.5 Trey_Burke
0.0 0.0 104.3 Tristan_Thompson
0.9 0.364 106.6 Troy_Daniels
0.9 0.341 106.5 Ty_Lawson
0.4 0.279 103.8 Tyler_Ennis
0.0 0.143 101.6 Tyler_Hansbrough
0.6 0.375 101.8 Tyler_Johnson
0.0 0.0 102.5 Tyler_Zeller
0.9 0.304 105.3 Tyreke_Evans
0.0 0.0 112.6 Tyrus_Thomas
0.0 0.0 102.1 Tyson_Chandler
