2.93257565972 2.87054001888 98.2 108.4 0.504 0.147 0.263 11.0 20.9 55.5 Bargnani,Andrea DeRozan,DeMar Evans,Reggie Jack,Jarrett Kleiza,Linas 10
3.16227766017 3.13687742827 92.8 102.3 0.48 0.132 0.262 13.8 15.1 42.0 Graham,Joey Hickson,J.J. Parker,Anthony Varejao,Anderson Williams,Mo 10
3.60555127546 3.32264954517 105.5 100.0 0.5 0.146 0.167 7.4 10.9 37.1 Cousins,DeMarcus Evans,Tyreke Greene,Donte Thompson,Jason Udrih,Beno 10
3.16227766017 3.05941170816 99.2 109.6 0.554 0.146 0.218 6.8 13.9 45.6 Graham,Stephen Harris,Devin Humphries,Kris Lopez,Brook Outlaw,Travis 10
4.0249223595 4.01995024845 108.5 90.7 0.44 0.211 0.356 15.2 15.2 37.5 Arthur,Darrell Conley,Mike Gasol,Marc Gay,Rudy Mayo,O.J. 10
4.62601340249 4.58693797647 97.0 109.8 0.513 0.113 0.255 17.0 22.4 46.2 Collison,Darren Granger,Danny Hansbrough,Tyler Hibbert,Roy Rush,Brandon 10
3.76828873628 3.72021504755 99.6 104.1 0.491 0.127 0.227 12.0 20.0 34.9 Bogut,Andrew Gooden,Drew Jennings,Brandon Mbah a Moute,Luc Salmons,John 10
3.87298334621 3.82622529394 107.2 102.6 0.471 0.088 0.22 11.7 9.5 43.7 Bonner,Matt Duncan,Tim Hill,George Jefferson,Richard Parker,Tony 10
3.74165738677 3.72021504755 96.6 117.4 0.549 0.103 0.279 20.1 20.4 48.9 Foye,Randy Gomes,Ryan Griffin,Blake Jordan,DeAndre Williams,Mo 10
3.66060104354 3.61109401705 91.8 105.1 0.548 0.165 0.22 9.9 18.7 41.7 Blatche,Andray Hinrich,Kirk McGee,JaVale Thornton,Al Wall,John 10
2.683281573 2.4 103.0 110.5 0.523 0.129 0.306 14.4 25.4 56.7 Amundson,Lou Curry,Stephen Ellis,Monta Lee,David Wright,Dorell 10
4.87852436706 4.87442304278 97.5 90.1 0.434 0.135 0.169 12.2 17.0 33.3 Beaubois,Rodrigue Chandler,Tyson Kidd,Jason Marion,Shawn Nowitzki,Dirk 10
2.4899799196 2.4819347292 115.0 110.9 0.509 0.143 0.289 14.1 7.4 41.5 Bell,Raja Hayward,Gordon Jefferson,Al Millsap,Paul Williams,Deron 10
2.72029410175 2.71293199325 116.3 108.6 0.534 0.173 0.314 16.2 7.7 39.8 Collison,Nick Green,Jeff Harden,James Ibaka,Serge Maynor,Eric 10
4.17133072292 4.12795348811 101.1 110.5 0.521 0.114 0.227 9.3 23.9 50.0 Beasley,Michael Johnson,Wesley Love,Kevin Milicic,Darko Telfair,Sebastian 10
3.40587727319 3.31058907145 117.6 110.4 0.523 0.141 0.264 17.7 12.8 38.4 Durant,Kevin Ibaka,Serge Krstic,Nenad Sefolosha,Thabo Westbrook,Russell 10
3.7947331922 3.7947331922 102.6 97.3 0.431 0.128 0.281 15.1 11.0 37.0 Allen,Ray Garnett,Kevin O'Neal,Jermaine Pierce,Paul Rondo,Rajon 10
3.46410161514 3.44093010682 103.9 95.1 0.455 0.142 0.248 14.7 10.6 43.8 Blake,Steve Brown,Shannon Gasol,Pau Odom,Lamar Walton,Luke 10
2.60768096208 2.0591260282 107.0 101.1 0.503 0.174 0.302 14.4 16.7 38.7 McGrady,Tracy Monroe,Greg Prince,Tayshaun Stuckey,Rodney Wilcox,Chris 10
2.96647939484 2.71293199325 111.3 104.3 0.466 0.146 0.331 18.3 14.8 36.6 Blair,DeJuan Bonner,Matt Ginobili,Manu Hill,George Neal,Gary 10
3.31662479036 3.26190128606 115.2 101.4 0.488 0.179 0.283 18.6 11.1 41.2 Augustin,D.J. Diaw,Boris Jackson,Stephen Thomas,Tyrus Wallace,Gerald 10
3.40587727319 3.31058907145 102.5 111.2 0.518 0.115 0.24 8.8 20.5 43.3 Favors,Derrick Harris,Devin Lopez,Brook Morrow,Anthony Outlaw,Travis 10
2.72029410175 2.65329983228 113.6 101.0 0.481 0.165 0.247 10.5 10.1 35.4 Collison,Nick Cook,Daequan Harden,James Maynor,Eric Mohammed,Nazr 10
2.40831891576 2.19089023002 94.5 111.0 0.512 0.139 0.357 19.2 18.8 51.4 Daye,Austin Hamilton,Richard Prince,Tayshaun Stuckey,Rodney Wallace,Ben 10
3.40587727319 3.40587727319 92.8 115.9 0.541 0.095 0.277 11.4 19.9 50.5 Farmar,Jordan Humphries,Kris Lopez,Brook Morrow,Anthony Vujacic,Sasha 10
3.22490309932 3.12409987036 114.5 114.9 0.541 0.149 0.355 17.0 19.0 50.2 Hill,Grant Lopez,Robin Nash,Steve Richardson,Jason Turkoglu,Hedo 10
4.9799598392 4.83321838944 102.6 89.2 0.42 0.176 0.22 8.2 11.5 32.0 Allen,Ray Davis,Glen Garnett,Kevin Pierce,Paul Robinson,Nate 10
3.54964786986 3.54400902933 107.5 96.6 0.477 0.199 0.309 14.7 11.0 48.3 Blatche,Andray Crawford,Jordan Evans,Maurice McGee,JaVale Wall,John 10
2.72029410175 2.33238075794 117.0 101.8 0.479 0.138 0.216 15.2 6.6 46.0 Brand,Elton Holiday,Jrue Iguodala,Andre Williams,Louis Young,Thaddeus 10
2.72029410175 2.71293199325 108.6 101.9 0.449 0.144 0.308 17.6 7.4 35.3 Collison,Nick Durant,Kevin Harden,James Ibaka,Serge Maynor,Eric 10
3.76828873628 3.76297754445 95.9 93.4 0.459 0.135 0.157 9.5 9.1 28.2 Bogut,Andrew Delfino,Carlos Gooden,Drew Jennings,Brandon Salmons,John 10
2.4899799196 2.41660919472 103.4 115.2 0.51 0.167 0.382 20.8 14.6 45.9 Bell,Raja Jefferson,Al Miles,CJ Millsap,Paul Williams,Deron 10
3.94968353163 3.94968353163 123.3 104.8 0.5 0.108 0.218 10.4 14.2 43.4 Bibby,Mike Bosh,Chris Dampier,Erick James,LeBron Wade,Dwyane 10
4.60434577329 4.60434577329 108.9 119.4 0.533 0.145 0.333 14.7 14.2 33.5 Bynum,Will Daye,Austin Gordon,Ben Villanueva,Charlie Wilcox,Chris 10
3.40587727319 3.00665927567 117.6 111.7 0.531 0.149 0.302 17.1 11.2 49.1 Hayes,Charles Lee,Courtney Lowry,Kyle Martin,Kevin Scola,Luis 10
2.4899799196 2.4819347292 124.6 92.6 0.406 0.145 0.245 7.6 8.0 35.4 Jefferson,Al Kirilenko,Andrei Miles,CJ Millsap,Paul Williams,Deron 10
4.79583152331 4.75815090135 115.7 97.1 0.456 0.159 0.316 15.3 17.0 35.7 Barea,Jose Juan Mahinmi,Ian Marion,Shawn Nowitzki,Dirk Terry,Jason 10
3.06594194335 3.00665927567 107.3 113.2 0.536 0.156 0.321 14.2 4.3 35.2 Aldridge,LaMarcus Cunningham,Dante Fernandez,Rudy Matthews,Wesley Miller,Andre 10
3.74165738677 3.72021504755 106.3 101.5 0.478 0.147 0.238 16.7 12.4 36.8 Bledsoe,Eric Gomes,Ryan Gordon,Eric Griffin,Blake Jordan,DeAndre 10
2.36643191324 2.33238075794 97.6 102.6 0.473 0.113 0.206 10.7 14.6 39.4 Boozer,Carlos Deng,Luol Korver,Kyle Rose,Derrick Thomas,Kurt 10
4.42718872424 4.40908153701 108.0 108.3 0.538 0.177 0.33 13.7 19.7 47.0 Bynum,Will Gordon,Ben McGrady,Tracy Monroe,Greg Villanueva,Charlie 10
4.0 3.91918358845 99.5 110.7 0.519 0.15 0.347 15.0 8.2 55.8 Chandler,Wilson Douglas,Toney Felton,Raymond Gallinari,Danilo Stoudemire,Amar'e 10
2.683281573 2.65329983228 100.1 106.9 0.519 0.123 0.219 11.3 16.0 38.1 Brand,Elton Hawes,Spencer Holiday,Jrue Iguodala,Andre Turner,Evan 10
3.19374388453 3.1874754901 82.2 107.6 0.542 0.128 0.144 6.5 20.3 38.8 Hickson,J.J. Moon,Jamario Parker,Anthony Varejao,Anderson Williams,Mo 10
5.58569601751 5.57135531087 108.4 86.2 0.409 0.137 0.216 10.5 7.8 21.8 Allen,Ray Garnett,Kevin O'Neal,Shaquille Pierce,Paul Robinson,Nate 10
3.03315017762 2.92574776767 98.8 106.6 0.527 0.145 0.244 13.5 17.9 52.3 Bargnani,Andrea Calderon,Jose DeRozan,DeMar Johnson,Amir Kleiza,Linas 10
3.46410161514 3.46410161514 119.4 103.0 0.462 0.158 0.333 16.1 2.6 34.9 Blake,Steve Brown,Shannon Bryant,Kobe Gasol,Pau Odom,Lamar 10
3.09838667697 2.99332590942 128.0 94.7 0.472 0.149 0.163 12.5 10.7 36.5 Bonner,Matt Ginobili,Manu Hill,George McDyess,Antonio Neal,Gary 10
2.36643191324 2.22710574513 108.8 92.3 0.464 0.166 0.205 7.1 8.0 31.2 Brand,Elton Iguodala,Andre Turner,Evan Williams,Louis Young,Thaddeus 10
3.54964786986 3.40587727319 105.0 97.7 0.466 0.177 0.297 15.6 15.6 32.1 Brewer,Corey Johnson,Wesley Love,Kevin Milicic,Darko Ridnour,Luke 10
