45	36.1%	44	36.3%
50	46.9%	40	39.8%
35	52.2%	37	49.4%
42	54.8%	34	42.5%
36	50.0%	48	40.5%
40	41.9%	41	45.8%
43	45.7%	43	47.7%
38	53.7%	43	41.3%
42	47.7%	48	44.4%
44	41.1%	62	39.8%
63	50.6%	40	36.4%
52	40.9%	57	28.7%
48	41.7%	57	43.2%
37	48.1%	40	45.2%
29	53.2%	45	50.0%
40	40.2%	46	44.2%
41	50.6%	46	41.5%
45	44.2%	43	46.4%
37	46.1%	45	46.6%
32	51.4%	33	46.6%
51	47.8%	49	44.4%
41	37.9%	43	49.3%
44	39.5%	44	49.4%
44	44.0%	42	41.5%
41	44.9%	51	43.0%
39	39.5%	48	53.6%
37	41.8%	55	46.5%
42	44.6%	38	47.3%
42	50.0%	42	40.4%
46	43.7%	44	42.4%
52	40.2%	42	41.1%
45	40.7%	42	45.0%
47	51.1%	41	43.3%
36	55.4%	45	46.0%
50	45.8%	35	43.8%
33	49.4%	35	49.3%
37	41.3%	57	37.0%
38	44.7%	42	47.8%
37	52.4%	45	43.4%
41	48.2%	47	46.1%
47	42.2%	51	41.9%
34	50.7%	33	54.9%
43	48.1%	43	38.8%
50	38.0%	37	36.7%
51	39.3%	52	39.4%
48	39.6%	33	48.7%
44	47.4%	39	47.4%
38	45.3%	52	34.6%
38	47.5%	45	48.2%
42	41.5%	43	46.6%
50	41.9%	52	34.1%
37	42.7%	39	47.3%
32	55.3%	40	45.1%
50	39.3%	43	47.7%
45	41.7%	44	43.7%
41	51.4%	38	39.0%
30	50.0%	43	47.4%
51	42.9%	38	44.3%
43	36.8%	55	43.3%
35	49.4%	31	51.2%
48	39.6%	45	45.7%
42	37.1%	50	46.6%
37	46.4%	35	50.0%
31	50.0%	54	40.5%
33	49.4%	51	40.0%
38	60.5%	33	45.3%
31	55.1%	38	48.8%
40	47.0%	39	48.2%
42	44.3%	40	40.7%
33	51.2%	49	42.9%
39	43.8%	42	51.9%
48	43.7%	56	39.3%
39	50.0%	37	48.2%
43	50.0%	30	47.2%
48	41.3%	44	46.5%
44	48.9%	35	50.7%
36	54.1%	45	48.9%
49	46.2%	44	38.3%
39	48.1%	49	34.7%
42	51.3%	41	39.5%
37	53.8%	44	37.8%
50	40.6%	45	53.3%
49	32.5%	37	51.8%
31	53.0%	41	48.7%
51	39.0%	43	45.7%
32	50.0%	44	42.0%
36	44.3%	39	49.4%
34	48.4%	46	61.5%
50	36.6%	49	30.7%
40	52.4%	38	44.3%
42	50.6%	44	44.0%
46	50.0%	38	39.8%
44	50.0%	32	48.6%
39	51.1%	52	35.0%
40	47.1%	47	50.0%
45	34.8%	36	65.3%
54	34.5%	34	49.4%
37	53.6%	41	45.0%
43	48.1%	46	41.7%
36	52.5%	49	48.4%
41	46.3%	44	43.0%
47	34.6%	35	42.9%
46	39.6%	51	42.9%
39	35.4%	34	56.4%
44	36.1%	50	49.4%
51	42.9%	42	33.0%
38	40.6%	43	44.2%
31	47.0%	35	60.8%
45	41.0%	42	43.3%
43	44.0%	46	44.7%
49	45.1%	50	38.3%
42	47.0%	38	43.8%
45	47.6%	37	45.9%
48	42.3%	40	42.4%
32	54.9%	43	45.0%
43	45.5%	44	40.5%
49	34.9%	50	37.2%
40	50.0%	47	42.7%
42	36.7%	48	47.1%
42	46.1%	46	37.0%
36	46.8%	43	50.0%
38	53.3%	44	33.0%
61	38.9%	72	34.6%
39	44.1%	52	51.3%
52	43.8%	48	38.2%
39	41.4%	50	51.1%
54	34.1%	49	44.4%
41	43.2%	41	38.2%
45	42.0%	37	56.9%
46	36.8%	50	37.9%
42	46.2%	38	54.1%
46	54.9%	46	41.0%
49	35.2%	47	50.0%
52	42.7%	38	46.9%
42	40.3%	50	39.1%
44	40.2%	44	48.6%
36	52.6%	36	51.3%
47	36.5%	44	50.0%
44	48.8%	39	48.3%
55	36.7%	60	42.1%
47	40.9%	53	34.5%
35	43.5%	43	54.4%
46	44.4%	45	43.2%
45	52.5%	33	46.7%
47	47.1%	39	50.5%
48	35.8%	38	44.6%
40	48.3%	38	53.8%
53	40.7%	47	44.6%
47	41.8%	40	41.9%
50	49.4%	38	46.7%
38	41.6%	44	50.0%
43	53.9%	41	45.8%
48	40.8%	36	45.5%
42	46.1%	46	48.7%
41	53.8%	41	42.2%
41	50.0%	46	44.4%
49	45.7%	48	41.1%
37	59.5%	32	50.0%
41	44.0%	35	50.6%
46	45.2%	44	51.2%
37	51.9%	48	43.0%
36	40.7%	38	56.4%
51	35.0%	53	32.3%
38	46.3%	42	39.5%
28	55.1%	44	55.0%
44	43.2%	55	35.7%
49	48.6%	41	41.7%
40	52.4%	41	39.7%
49	42.5%	48	35.9%
47	46.2%	49	36.7%
35	40.6%	58	45.8%
44	51.1%	50	44.8%
43	46.4%	42	46.8%
41	45.8%	45	36.4%
39	39.7%	43	44.0%
50	45.9%	45	31.8%
42	34.8%	43	51.3%
42	50.0%	43	39.7%
42	52.1%	45	49.5%
59	38.1%	56	35.6%
46	50.0%	46	42.5%
42	40.9%	55	37.2%
52	45.6%	42	39.4%
38	42.0%	49	41.0%
45	40.2%	50	41.0%
40	55.3%	44	43.4%
35	45.7%	33	53.6%
40	45.9%	46	44.3%
47	39.1%	33	43.1%
40	50.0%	43	39.0%
44	42.7%	47	51.7%
36	51.2%	40	47.9%
41	55.3%	40	50.0%
43	37.2%	53	41.5%
46	42.2%	34	48.1%
38	51.2%	42	44.0%
37	54.4%	47	44.4%
40	50.0%	40	47.4%
44	37.3%	46	41.3%
46	43.0%	45	42.9%
55	39.6%	42	42.7%
44	46.8%	51	42.4%
49	45.9%	47	41.8%
41	45.5%	44	56.3%
41	42.9%	33	41.4%
42	44.6%	34	53.4%
50	40.7%	42	50.6%
34	48.8%	43	59.3%
34	48.8%	41	47.1%
47	39.5%	37	50.7%
46	48.0%	54	42.0%
41	48.8%	45	42.3%
39	47.2%	42	47.4%
46	45.3%	27	48.1%
42	46.4%	41	47.7%
46	54.0%	42	42.7%
43	44.4%	45	47.7%
45	42.0%	44	41.3%
52	50.0%	29	49.4%
42	45.1%	37	46.4%
43	41.3%	33	51.1%
58	41.1%	54	35.6%
35	48.8%	41	50.0%
43	42.9%	47	42.4%
40	42.1%	38	46.1%
44	50.0%	37	48.1%
35	52.0%	34	50.0%
41	50.0%	44	48.2%
45	38.8%	40	57.3%
36	43.3%	50	46.2%
55	39.8%	49	36.3%
43	48.4%	53	38.8%
49	40.0%	42	46.3%
40	46.3%	49	44.8%
39	39.0%	48	45.9%
43	43.0%	33	51.3%
43	43.4%	49	37.5%
38	45.6%	41	50.0%
44	41.0%	39	50.6%
59	43.0%	41	44.2%
36	56.4%	43	40.5%
52	37.3%	38	37.5%
37	45.9%	32	53.3%
42	44.6%	49	37.2%
48	48.8%	45	42.9%
49	38.4%	50	44.4%
45	40.7%	36	47.7%
50	40.8%	37	45.9%
39	46.3%	44	34.2%
44	32.3%	56	42.3%
34	51.2%	44	50.0%
38	44.7%	41	53.2%
35	53.1%	44	46.8%
36	53.2%	47	38.0%
81	43.0%	53	38.0%
42	42.7%	45	42.9%
44	45.7%	50	47.5%
37	42.0%	49	36.2%
45	34.9%	57	37.3%
36	40.3%	43	40.3%
37	47.8%	57	43.0%
38	51.3%	35	47.4%
41	50.0%	42	38.8%
48	49.4%	48	38.5%
40	45.7%	60	41.8%
49	52.4%	42	42.9%
34	50.0%	45	44.4%
40	48.7%	35	53.2%
42	42.7%	46	38.1%
36	37.1%	55	37.8%
33	42.2%	51	46.8%
48	38.1%	48	52.9%
40	44.6%	39	48.1%
33	49.4%	48	44.1%
42	52.2%	60	36.1%
43	46.8%	41	44.9%
40	50.0%	47	38.2%
42	52.3%	46	41.8%
38	45.2%	40	47.5%
39	52.4%	41	50.0%
44	53.9%	49	37.6%
42	44.4%	57	38.6%
48	36.7%	49	42.7%
43	43.1%	52	41.8%
37	43.4%	50	41.7%
38	40.5%	33	50.0%
43	43.9%	41	44.7%
43	49.4%	38	47.6%
34	57.9%	47	39.6%
39	45.3%	46	42.0%
51	42.2%	55	35.2%
49	41.9%	50	40.7%
37	45.7%	40	50.6%
57	46.1%	42	50.0%
30	58.9%	38	48.8%
42	42.4%	38	47.7%
36	55.2%	46	46.2%
50	44.7%	39	44.8%
43	52.6%	54	45.7%
32	42.7%	35	60.9%
32	44.7%	49	50.0%
55	45.0%	39	38.7%
47	45.6%	39	46.0%
36	49.4%	45	53.9%
39	42.5%	37	45.7%
39	55.7%	35	48.8%
36	48.1%	44	48.0%
43	42.2%	49	41.0%
56	40.6%	62	38.1%
47	35.4%	36	42.5%
35	40.6%	50	48.8%
42	46.9%	50	38.2%
39	47.5%	40	45.9%
39	41.7%	44	49.3%
